account_id,customer_id,account_type,branch_city,opening_date,balance_inr,account_status,nominee_registered
ACC0000029,<CUSTOMER_ID>,Savings,Hyderabad,5/20/2024,6235.5,Active,Yes
ACC0000030,<CUSTOMER_ID>,Salary,Ahmedabad,1/23/2021,7629.12,Active,Yes
ACC0000031,<CUSTOMER_ID>,Current,Noida,6/15/2025,568.45,Active,Yes
ACC0000032,<CUSTOMER_ID>,Savings,Pune,7/16/2023,8267.01,Active,Yes
ACC0000033,<CUSTOMER_ID>,Premium Savings,Bhubaneswar,10/20/2023,2529.78,Active,Yes
ACC0000034,<CUSTOMER_ID>,Savings,Lucknow,4/26/2021,12086.24,Active,Yes
ACC0000035,<CUSTOMER_ID>,Salary,Nashik,7/31/2018,9389.6,Active,No
ACC0000036,<CUSTOMER_ID>,Salary,Indore,2/17/2024,18457.89,Active,Yes
ACC0000037,<CUSTOMER_ID>,Savings,Ahmedabad,1/3/2022,18657.52,Active,Yes
ACC0000038,<CUSTOMER_ID>,Current,Indore,3/28/2025,53723.78,Active,Yes
ACC0000039,<CUSTOMER_ID>,Salary,Jaipur,6/25/2025,914.66,Active,Yes
ACC0000040,<CUSTOMER_ID>,Premium Savings,Bhubaneswar,3/20/2024,7053.9,Active,Yes
ACC0000041,<CUSTOMER_ID>,Savings,Lucknow,1/10/2019,858.75,Active,Yes
ACC0000042,<CUSTOMER_ID>,Salary,Gurugram,7/24/2024,13901.7,Active,No
ACC0000043,<CUSTOMER_ID>,Premium Savings,Delhi,7/30/2018,6743.04,Active,Yes
ACC0000044,<CUSTOMER_ID>,Salary,Nashik,8/21/2018,4827.88,Active,Yes
ACC0000045,<CUSTOMER_ID>,Salary,Lucknow,8/19/2022,10869.55,Active,Yes
ACC0000046,<CUSTOMER_ID>,Savings,Kolkata,1/4/2025,2544.93,Active,Yes
ACC0000047,<CUSTOMER_ID>,Savings,Nagpur,6/20/2018,61860.25,Active,Yes
ACC0000048,<CUSTOMER_ID>,Premium Savings,Nashik,2/4/2018,6192.79,Active,Yes
ACC0000049,<CUSTOMER_ID>,Current,Gurugram,3/29/2026,8814.79,Dormant,Yes
ACC0000050,<CUSTOMER_ID>,Savings,Chandigarh,10/14/2017,7034.78,Active,Yes
ACC0000051,<CUSTOMER_ID>,Premium Savings,Bhopal,4/11/2018,22351.55,Active,Yes
ACC0000052,<CUSTOMER_ID>,Salary,Hyderabad,1/26/2022,2159.38,Active,Yes
ACC0000053,<CUSTOMER_ID>,Savings,Ahmedabad,8/21/2024,20151.41,Active,Yes
ACC0000054,<CUSTOMER_ID>,Savings,Indore,7/23/2020,4580.57,Active,Yes
ACC0000055,<CUSTOMER_ID>,Salary,Surat,10/4/2025,4624.78,Active,Yes
ACC0000056,<CUSTOMER_ID>,Premium Savings,Surat,12/22/2017,21318.54,Active,Yes
ACC0000057,<CUSTOMER_ID>,Savings,Kochi,2/15/2019,6032.86,Active,Yes
ACC0000058,<CUSTOMER_ID>,Savings,Lucknow,1/3/2022,15917.27,Active,Yes
ACC0000059,<CUSTOMER_ID>,Savings,Nagpur,7/6/2022,16247.58,Active,Yes
ACC0000060,<CUSTOMER_ID>,Salary,Noida,3/20/2025,5518.99,Active,No
ACC0000061,<CUSTOMER_ID>,Savings,Jaipur,7/9/2020,10469.63,Active,Yes
ACC0000062,<CUSTOMER_ID>,Savings,Nashik,1/6/2018,4758.63,Active,Yes
ACC0000063,<CUSTOMER_ID>,Current,Nagpur,1/10/2020,7930.55,Active,Yes
ACC0000064,<CUSTOMER_ID>,Savings,Pune,3/12/2020,13643.98,Active,Yes
ACC0000065,<CUSTOMER_ID>,Savings,Bhopal,9/7/2025,2828.7,Active,Yes
ACC0000066,<CUSTOMER_ID>,Savings,Mumbai,9/19/2025,13151.91,Active,No
ACC0000067,<CUSTOMER_ID>,Savings,Mumbai,2/6/2020,11492.27,Active,Yes
ACC0000068,<CUSTOMER_ID>,Savings,Mumbai,10/30/2018,1575.14,Active,No
ACC0000069,<CUSTOMER_ID>,Premium Savings,Surat,4/26/2026,3566.41,Active,No
ACC0000070,<CUSTOMER_ID>,Savings,Mumbai,12/7/2019,3787.16,Active,Yes
ACC0000071,<CUSTOMER_ID>,Salary,Noida,11/24/2018,4969.99,Active,Yes
ACC0000072,<CUSTOMER_ID>,Savings,Delhi,3/22/2021,2831.38,Active,Yes
ACC0000073,<CUSTOMER_ID>,Savings,Bhubaneswar,9/7/2024,22767.18,Active,Yes
ACC0000074,<CUSTOMER_ID>,Current,Chandigarh,10/7/2017,26019.19,Active,No
ACC0000075,<CUSTOMER_ID>,Salary,Nagpur,6/5/2022,3406.14,Active,Yes
ACC0000076,<CUSTOMER_ID>,Current,Chennai,11/15/2023,2276.54,Active,Yes
ACC0000077,<CUSTOMER_ID>,Current,Bhopal,3/13/2025,7985.06,Active,Yes
ACC0000078,<CUSTOMER_ID>,Savings,Nagpur,3/7/2018,35003.65,Active,Yes
ACC0000079,<CUSTOMER_ID>,Savings,Kochi,12/9/2024,86648.92,Active,Yes
ACC0000080,<CUSTOMER_ID>,Salary,Pune,8/21/2019,3858.23,Active,Yes
ACC0000081,<CUSTOMER_ID>,Savings,Kolkata,8/5/2023,663.51,Dormant,Yes
ACC0000082,<CUSTOMER_ID>,Savings,Chandigarh,6/30/2023,1577.77,Active,Yes
ACC0000083,<CUSTOMER_ID>,Salary,Surat,5/17/2026,1140.58,Active,Yes
ACC0000084,<CUSTOMER_ID>,Savings,Surat,7/2/2025,12816.95,Active,Yes
ACC0000085,<CUSTOMER_ID>,Salary,Lucknow,4/12/2021,9020.73,Active,Yes
ACC0000086,<CUSTOMER_ID>,Savings,Kolkata,11/10/2019,10289.81,Active,Yes
ACC0000087,<CUSTOMER_ID>,Premium Savings,Hyderabad,2/17/2023,27959.81,Active,Yes
ACC0000088,<CUSTOMER_ID>,Savings,Noida,7/4/2026,48622.07,Active,Yes
ACC0000089,<CUSTOMER_ID>,Savings,Ahmedabad,12/25/2017,20480.97,Active,No
ACC0000090,<CUSTOMER_ID>,Savings,Delhi,11/17/2018,18191.55,Active,Yes
ACC0000091,<CUSTOMER_ID>,Current,Nashik,2/28/2018,1601.24,Active,Yes
ACC0000092,<CUSTOMER_ID>,Savings,Ahmedabad,2/6/2024,4631.08,Active,Yes
ACC0000093,<CUSTOMER_ID>,Premium Savings,Chandigarh,7/24/2023,37171.73,Active,Yes
ACC0000094,<CUSTOMER_ID>,Savings,Indore,8/22/2018,4426.54,Active,Yes
ACC0000095,<CUSTOMER_ID>,Savings,Mumbai,12/10/2018,27340.1,Active,No
ACC0000096,<CUSTOMER_ID>,Savings,Bengaluru,9/20/2025,9280.95,Active,Yes
ACC0000097,<CUSTOMER_ID>,Savings,Bengaluru,8/25/2017,19177.72,Active,Yes
ACC0000098,<CUSTOMER_ID>,Savings,Indore,5/5/2026,3105.65,Active,Yes
ACC0000099,<CUSTOMER_ID>,Savings,Noida,7/5/2023,18759.35,Active,Yes
ACC0000100,<CUSTOMER_ID>,Savings,Bengaluru,4/21/2018,4010.11,Active,Yes
ACC0000101,<CUSTOMER_ID>,Savings,Bhubaneswar,6/15/2023,10442.09,Active,Yes
ACC0000102,<CUSTOMER_ID>,Savings,Jaipur,12/29/2017,7847.83,Active,Yes
ACC0000103,<CUSTOMER_ID>,Savings,Indore,5/23/2022,30068.76,Active,No
ACC0000104,<CUSTOMER_ID>,Salary,Ahmedabad,9/5/2025,20237.24,Active,Yes
ACC0000105,<CUSTOMER_ID>,Savings,Hyderabad,7/27/2019,1161.79,Active,Yes
ACC0000106,<CUSTOMER_ID>,Premium Savings,Chennai,10/28/2020,3322.79,Active,Yes
ACC0000107,<CUSTOMER_ID>,Savings,Kolkata,10/31/2021,4025.96,Active,Yes
ACC0000108,<CUSTOMER_ID>,Savings,Surat,8/14/2023,17342.47,Active,Yes
ACC0000109,<CUSTOMER_ID>,Savings,Jaipur,8/15/2019,4698.99,Active,Yes
ACC0000110,<CUSTOMER_ID>,Premium Savings,Bhubaneswar,4/20/2024,2444.75,Active,No
ACC0000111,<CUSTOMER_ID>,Premium Savings,Bengaluru,8/25/2024,1806.03,Active,Yes
ACC0000112,<CUSTOMER_ID>,Savings,Kolkata,2/8/2021,18035.35,Active,No
ACC0000113,<CUSTOMER_ID>,Savings,Lucknow,3/15/2024,828.08,Active,Yes
ACC0000114,<CUSTOMER_ID>,Salary,Hyderabad,9/21/2023,25865.13,Active,Yes
ACC0000115,<CUSTOMER_ID>,Premium Savings,Ahmedabad,5/27/2020,1967.26,Active,Yes
ACC0000116,<CUSTOMER_ID>,Current,Nagpur,9/8/2018,4951.82,Active,Yes
ACC0000117,<CUSTOMER_ID>,Premium Savings,Nagpur,9/17/2021,2240.93,Active,Yes
ACC0000118,<CUSTOMER_ID>,Premium Savings,Noida,5/7/2018,2948.13,Active,Yes
ACC0000119,<CUSTOMER_ID>,Salary,Chandigarh,12/8/2017,6337.52,Active,Yes
ACC0000120,<CUSTOMER_ID>,Savings,Lucknow,9/26/2024,6971.58,Active,Yes
ACC0000121,<CUSTOMER_ID>,Savings,Ahmedabad,6/22/2021,1478.85,Active,Yes
ACC0000122,<CUSTOMER_ID>,Savings,Bengaluru,4/26/2018,5187.95,Active,Yes
ACC0000123,<CUSTOMER_ID>,Savings,Bhopal,1/19/2025,9077.52,Active,Yes
ACC0000124,<CUSTOMER_ID>,Savings,Ahmedabad,9/11/2021,13558.2,Active,No
ACC0000125,<CUSTOMER_ID>,Savings,Chandigarh,5/22/2024,856.92,Active,Yes
ACC0000126,<CUSTOMER_ID>,Savings,Bhubaneswar,8/4/2018,4785.17,Active,Yes
ACC0000127,<CUSTOMER_ID>,Current,Lucknow,4/2/2024,846.42,Active,Yes
ACC0000128,<CUSTOMER_ID>,Savings,Mumbai,6/28/2025,4632.92,Active,Yes
ACC0000129,<CUSTOMER_ID>,Salary,Bengaluru,8/24/2017,5046.71,Active,Yes
ACC0000130,<CUSTOMER_ID>,Savings,Kochi,8/14/2021,16188.51,Active,Yes
ACC0000131,<CUSTOMER_ID>,Premium Savings,Mumbai,11/2/2021,23641.71,Active,Yes
ACC0000132,<CUSTOMER_ID>,Current,Kolkata,11/4/2019,2633.4,Active,No
ACC0000133,<CUSTOMER_ID>,Savings,Noida,2/21/2022,11200.22,Active,Yes
ACC0000134,<CUSTOMER_ID>,Salary,Nashik,4/29/2026,16655.77,Active,No
ACC0000135,<CUSTOMER_ID>,Savings,Nashik,11/5/2020,3562.6,Active,Yes
ACC0000136,<CUSTOMER_ID>,Savings,Surat,7/6/2021,18964.16,Active,Yes
ACC0000137,<CUSTOMER_ID>,Savings,Indore,5/5/2022,9410.34,Closed,Yes
ACC0000138,<CUSTOMER_ID>,Current,Bhubaneswar,6/7/2021,5998.1,Active,Yes
ACC0000139,<CUSTOMER_ID>,Salary,Chandigarh,12/5/2021,9470.51,Active,Yes
ACC0000140,<CUSTOMER_ID>,Salary,Nagpur,10/4/2024,1424.79,Active,Yes
ACC0000141,<CUSTOMER_ID>,Salary,Bengaluru,6/25/2021,9457.0,Active,Yes
ACC0000142,<CUSTOMER_ID>,Current,Chandigarh,12/21/2021,3195.88,Active,Yes
ACC0000143,<CUSTOMER_ID>,Savings,Ahmedabad,10/7/2023,8364.16,Active,Yes
ACC0000144,<CUSTOMER_ID>,Savings,Lucknow,1/5/2023,5185.38,Active,Yes
ACC0000145,<CUSTOMER_ID>,Savings,Kochi,1/10/2019,11128.13,Active,Yes
ACC0000146,<CUSTOMER_ID>,Salary,Surat,1/5/2025,30063.18,Active,Yes
ACC0000147,<CUSTOMER_ID>,Premium Savings,Noida,7/22/2022,9319.39,Active,Yes
ACC0000148,<CUSTOMER_ID>,Premium Savings,Kochi,9/7/2019,24355.13,Active,No
ACC0000149,<CUSTOMER_ID>,Premium Savings,Bengaluru,11/7/2022,2630.12,Active,No
ACC0000150,<CUSTOMER_ID>,Savings,Pune,8/25/2018,39224.15,Active,Yes
ACC0000151,<CUSTOMER_ID>,Savings,Noida,6/9/2019,2659.77,Active,Yes
ACC0000152,<CUSTOMER_ID>,Salary,Bhubaneswar,2/12/2026,2041.05,Active,Yes
ACC0000153,<CUSTOMER_ID>,Salary,Indore,11/26/2022,5989.04,Active,No
ACC0000154,<CUSTOMER_ID>,Savings,Mumbai,12/14/2018,4969.6,Active,Yes
ACC0000155,<CUSTOMER_ID>,Salary,Nashik,11/5/2020,1421.98,Active,Yes
ACC0000156,<CUSTOMER_ID>,Savings,Delhi,8/26/2021,2343.43,Dormant,No
ACC0000157,<CUSTOMER_ID>,Current,Surat,3/8/2019,500.0,Active,Yes
ACC0000158,<CUSTOMER_ID>,Premium Savings,Chandigarh,11/8/2020,1832.91,Active,Yes
ACC0000159,<CUSTOMER_ID>,Premium Savings,Ahmedabad,12/12/2021,3921.29,Closed,Yes
ACC0000160,<CUSTOMER_ID>,Salary,Hyderabad,8/3/2019,41724.03,Active,No
ACC0000161,<CUSTOMER_ID>,Savings,Nashik,5/21/2021,17753.61,Active,No
ACC0000162,<CUSTOMER_ID>,Savings,Bhopal,1/9/2025,11566.29,Active,Yes
ACC0000163,<CUSTOMER_ID>,Savings,Gurugram,10/7/2025,87712.21,Active,Yes
ACC0000164,<CUSTOMER_ID>,Current,Delhi,2/10/2020,1128.16,Active,Yes
ACC0000165,<CUSTOMER_ID>,Savings,Jaipur,10/7/2023,7521.57,Active,Yes
ACC0000166,<CUSTOMER_ID>,Savings,Bengaluru,8/15/2025,76037.86,Active,No
ACC0000167,<CUSTOMER_ID>,Savings,Delhi,9/3/2023,4637.46,Closed,No
ACC0000168,<CUSTOMER_ID>,Savings,Lucknow,7/7/2018,3259.87,Active,Yes
ACC0000169,<CUSTOMER_ID>,Premium Savings,Bengaluru,10/3/2023,19911.88,Active,Yes
ACC0000170,<CUSTOMER_ID>,Savings,Bhopal,1/1/2018,4392.3,Active,Yes
ACC0000171,<CUSTOMER_ID>,Premium Savings,Lucknow,11/29/2022,32377.86,Active,Yes
ACC0000172,<CUSTOMER_ID>,Savings,Lucknow,11/3/2024,20224.3,Active,Yes
ACC0000173,<CUSTOMER_ID>,Salary,Surat,11/3/2024,6571.26,Active,Yes
ACC0000174,<CUSTOMER_ID>,Salary,Pune,10/7/2023,23828.32,Active,Yes
ACC0000175,<CUSTOMER_ID>,Current,Pune,3/24/2023,6253.51,Active,Yes
ACC0000176,<CUSTOMER_ID>,Savings,Ahmedabad,7/11/2024,9376.7,Active,Yes
ACC0000177,<CUSTOMER_ID>,Salary,Bhubaneswar,11/23/2022,15425.35,Active,Yes
ACC0000178,<CUSTOMER_ID>,Savings,Surat,3/11/2025,5279.09,Active,Yes
ACC0000179,<CUSTOMER_ID>,Savings,Jaipur,6/17/2026,42672.82,Active,Yes
ACC0000180,<CUSTOMER_ID>,Savings,Chennai,6/7/2022,8751.53,Active,Yes
ACC0000181,<CUSTOMER_ID>,Savings,Chandigarh,5/30/2018,11143.51,Active,Yes
ACC0000182,<CUSTOMER_ID>,Current,Pune,8/12/2023,1904.49,Active,No
ACC0000183,<CUSTOMER_ID>,Current,Nashik,1/29/2019,3987.84,Active,Yes
ACC0000184,<CUSTOMER_ID>,Savings,Chandigarh,5/14/2024,9693.13,Active,Yes
ACC0000185,<CUSTOMER_ID>,Savings,Noida,9/29/2024,21070.07,Active,Yes
ACC0000186,<CUSTOMER_ID>,Current,Pune,2/22/2018,38339.04,Active,Yes
ACC0000187,<CUSTOMER_ID>,Savings,Hyderabad,7/15/2019,2523.12,Active,Yes
ACC0000188,<CUSTOMER_ID>,Premium Savings,Nashik,6/17/2018,3264.04,Active,Yes
ACC0000189,<CUSTOMER_ID>,Salary,Delhi,9/23/2017,2094.7,Active,Yes
ACC0000190,<CUSTOMER_ID>,Salary,Chandigarh,8/11/2022,13946.36,Active,Yes
ACC0000191,<CUSTOMER_ID>,Savings,Surat,12/10/2017,38355.85,Active,Yes
ACC0000192,<CUSTOMER_ID>,Salary,Ahmedabad,10/20/2020,6810.56,Active,Yes
ACC0000193,<CUSTOMER_ID>,Savings,Noida,12/24/2024,8640.47,Active,No
ACC0000194,<CUSTOMER_ID>,Savings,Kochi,12/10/2017,9374.83,Active,Yes
ACC0000195,<CUSTOMER_ID>,Savings,Gurugram,3/23/2018,4836.87,Active,Yes
ACC0000196,<CUSTOMER_ID>,Current,Nashik,3/19/2021,2114.47,Active,Yes
ACC0000197,<CUSTOMER_ID>,Salary,Mumbai,5/31/2023,26002.79,Active,Yes
ACC0000198,<CUSTOMER_ID>,Savings,Bengaluru,1/11/2024,9601.54,Active,Yes
ACC0000199,<CUSTOMER_ID>,Savings,Noida,3/9/2024,4433.75,Active,Yes
ACC0000200,<CUSTOMER_ID>,Savings,Lucknow,3/2/2021,220938.46,Active,Yes
ACC0000201,<CUSTOMER_ID>,Savings,Nashik,10/4/2019,8077.85,Active,No
ACC0000202,<CUSTOMER_ID>,Current,Bhubaneswar,2/26/2018,1232.47,Active,Yes
ACC0000203,<CUSTOMER_ID>,Premium Savings,Ahmedabad,9/4/2025,16652.07,Active,Yes
ACC0000204,<CUSTOMER_ID>,Salary,Nashik,11/27/2025,1068.81,Active,No
ACC0000205,<CUSTOMER_ID>,Premium Savings,Delhi,2/23/2023,13529.3,Active,Yes
ACC0000206,<CUSTOMER_ID>,Savings,Nashik,7/12/2025,13139.93,Active,Yes
ACC0000207,<CUSTOMER_ID>,Savings,Jaipur,3/7/2023,36970.5,Active,Yes
ACC0000208,<CUSTOMER_ID>,Salary,Gurugram,6/12/2020,2690.44,Active,Yes
ACC0000209,<CUSTOMER_ID>,Savings,Hyderabad,2/8/2021,5866.25,Active,Yes
ACC0000210,<CUSTOMER_ID>,Salary,Ahmedabad,8/27/2025,7510.21,Active,Yes
ACC0000211,<CUSTOMER_ID>,Premium Savings,Gurugram,5/7/2024,21001.13,Active,Yes
ACC0000212,<CUSTOMER_ID>,Salary,Kochi,7/2/2021,13064.67,Active,No
ACC0000213,<CUSTOMER_ID>,Savings,Lucknow,4/20/2021,14338.05,Active,Yes
ACC0000214,<CUSTOMER_ID>,Savings,Nashik,5/27/2026,30967.97,Active,Yes
ACC0000215,<CUSTOMER_ID>,Savings,Ahmedabad,3/27/2021,6346.35,Active,No
ACC0000216,<CUSTOMER_ID>,Salary,Jaipur,10/24/2024,40497.63,Active,Yes
ACC0000217,<CUSTOMER_ID>,Premium Savings,Lucknow,9/16/2020,7352.76,Active,Yes
ACC0000218,<CUSTOMER_ID>,Current,Noida,4/20/2025,21698.69,Active,Yes
ACC0000219,<CUSTOMER_ID>,Savings,Surat,11/16/2025,4698.2,Active,Yes
ACC0000220,<CUSTOMER_ID>,Savings,Nashik,4/14/2024,15592.33,Active,Yes
ACC0000221,<CUSTOMER_ID>,Salary,Nagpur,1/20/2021,28968.56,Dormant,Yes
ACC0000222,<CUSTOMER_ID>,Savings,Hyderabad,6/11/2026,2464.44,Active,Yes
ACC0000223,<CUSTOMER_ID>,Savings,Kolkata,10/15/2018,22897.54,Active,Yes
ACC0000224,<CUSTOMER_ID>,Salary,Chandigarh,10/27/2020,9863.84,Active,No
ACC0000225,<CUSTOMER_ID>,Current,Delhi,5/22/2026,76285.27,Active,Yes
ACC0000226,<CUSTOMER_ID>,Savings,Gurugram,12/18/2020,6061.53,Active,Yes
ACC0000227,<CUSTOMER_ID>,Salary,Delhi,12/21/2021,11190.76,Active,Yes
ACC0000228,<CUSTOMER_ID>,Salary,Bhubaneswar,11/24/2025,6824.81,Active,Yes
ACC0000229,<CUSTOMER_ID>,Salary,Kolkata,11/7/2024,16799.86,Active,No
ACC0000230,<CUSTOMER_ID>,Premium Savings,Noida,2/22/2023,733.98,Active,Yes
ACC0000231,<CUSTOMER_ID>,Savings,Noida,3/11/2019,1717.43,Active,Yes
ACC0000232,<CUSTOMER_ID>,Salary,Hyderabad,6/3/2025,16905.96,Closed,Yes
ACC0000233,<CUSTOMER_ID>,Salary,Bhubaneswar,10/26/2020,8342.95,Active,No
ACC0000234,<CUSTOMER_ID>,Current,Lucknow,10/24/2024,894.44,Active,Yes
ACC0000235,<CUSTOMER_ID>,Current,Delhi,7/4/2026,4034.06,Active,No
ACC0000236,<CUSTOMER_ID>,Salary,Kochi,10/14/2025,5259.99,Active,Yes
ACC0000237,<CUSTOMER_ID>,Savings,Bhubaneswar,1/25/2021,4752.36,Active,No
ACC0000238,<CUSTOMER_ID>,Savings,Noida,1/1/2020,22577.55,Active,Yes
ACC0000239,<CUSTOMER_ID>,Premium Savings,Surat,2/1/2023,32273.33,Active,No
ACC0000240,<CUSTOMER_ID>,Savings,Kolkata,8/11/2022,691.14,Active,Yes
ACC0000241,<CUSTOMER_ID>,Salary,Bengaluru,12/11/2025,7105.11,Active,Yes
ACC0000242,<CUSTOMER_ID>,Salary,Kochi,12/9/2024,9183.13,Active,Yes
ACC0000243,<CUSTOMER_ID>,Savings,Pune,12/19/2024,1587.96,Active,Yes
ACC0000244,<CUSTOMER_ID>,Salary,Chennai,9/19/2025,32158.39,Active,Yes
ACC0000245,<CUSTOMER_ID>,Savings,Bhubaneswar,4/28/2025,12186.47,Active,Yes
ACC0000246,<CUSTOMER_ID>,Savings,Ahmedabad,1/23/2022,20651.94,Active,Yes
ACC0000247,<CUSTOMER_ID>,Premium Savings,Nagpur,6/20/2018,4962.33,Active,Yes
ACC0000248,<CUSTOMER_ID>,Savings,Hyderabad,2/15/2025,3439.85,Active,No
ACC0000249,<CUSTOMER_ID>,Savings,Nagpur,10/18/2025,4331.34,Active,Yes
ACC0000250,<CUSTOMER_ID>,Savings,Jaipur,4/19/2023,7179.36,Active,Yes
ACC0000251,<CUSTOMER_ID>,Savings,Kolkata,3/5/2020,5074.29,Active,Yes
ACC0000252,<CUSTOMER_ID>,Savings,Lucknow,8/25/2018,21940.99,Active,Yes
ACC0000253,<CUSTOMER_ID>,Savings,Nashik,2/6/2018,152153.96,Active,Yes
ACC0000254,<CUSTOMER_ID>,Savings,Pune,1/20/2018,15379.91,Closed,Yes
ACC0000255,<CUSTOMER_ID>,Savings,Bengaluru,8/21/2017,951.49,Active,Yes
ACC0000256,<CUSTOMER_ID>,Savings,Kolkata,2/1/2021,9610.19,Closed,Yes
ACC0000257,<CUSTOMER_ID>,Savings,Surat,6/9/2022,2193.87,Active,Yes
ACC0000258,<CUSTOMER_ID>,Current,Bhubaneswar,3/20/2022,5174.82,Active,Yes
ACC0000259,<CUSTOMER_ID>,Savings,Nashik,6/28/2026,7791.73,Active,No
ACC0000260,<CUSTOMER_ID>,Salary,Gurugram,4/9/2026,6093.3,Active,No
ACC0000261,<CUSTOMER_ID>,Savings,Kolkata,10/4/2019,2595.28,Closed,Yes
ACC0000262,<CUSTOMER_ID>,Premium Savings,Kochi,12/22/2023,14387.76,Active,No
ACC0000263,<CUSTOMER_ID>,Salary,Bhopal,11/5/2024,903.9,Active,Yes
ACC0000264,<CUSTOMER_ID>,Salary,Pune,8/25/2022,12394.31,Active,Yes
ACC0000265,<CUSTOMER_ID>,Savings,Hyderabad,2/25/2026,3004.18,Active,No
ACC0000266,<CUSTOMER_ID>,Savings,Kochi,5/17/2024,11010.1,Active,Yes
ACC0000267,<CUSTOMER_ID>,Savings,Chennai,1/29/2020,1846.13,Active,Yes
ACC0000268,<CUSTOMER_ID>,Premium Savings,Chandigarh,2/25/2018,10452.96,Active,Yes
ACC0000269,<CUSTOMER_ID>,Current,Indore,11/20/2023,36865.99,Active,Yes
ACC0000270,<CUSTOMER_ID>,Savings,Chennai,5/28/2020,4212.63,Active,Yes
ACC0000271,<CUSTOMER_ID>,Savings,Bengaluru,6/4/2023,4112.21,Active,Yes
ACC0000272,<CUSTOMER_ID>,Savings,Nagpur,4/23/2021,13039.64,Active,Yes
ACC0000273,<CUSTOMER_ID>,Savings,Kolkata,12/14/2023,10220.76,Active,Yes
ACC0000274,<CUSTOMER_ID>,Salary,Mumbai,1/21/2023,1772.4,Active,Yes
ACC0000275,<CUSTOMER_ID>,Savings,Gurugram,3/28/2025,27402.51,Active,No
ACC0000276,<CUSTOMER_ID>,Savings,Delhi,3/26/2023,19728.98,Active,Yes
ACC0000277,<CUSTOMER_ID>,Savings,Kolkata,7/21/2025,33199.82,Active,Yes
ACC0000278,<CUSTOMER_ID>,Current,Chandigarh,1/14/2021,14772.04,Active,Yes
ACC0000279,<CUSTOMER_ID>,Savings,Lucknow,8/31/2022,64640.17,Active,Yes
ACC0000280,<CUSTOMER_ID>,Savings,Ahmedabad,3/17/2025,1032.9,Active,No
ACC0000281,<CUSTOMER_ID>,Savings,Nagpur,10/17/2019,43317.2,Active,Yes
ACC0000282,<CUSTOMER_ID>,Salary,Nashik,12/9/2020,5276.86,Active,Yes
ACC0000283,<CUSTOMER_ID>,Savings,Surat,9/26/2024,4454.34,Active,Yes
ACC0000284,<CUSTOMER_ID>,Salary,Surat,2/24/2020,3692.66,Active,Yes
ACC0000285,<CUSTOMER_ID>,Savings,Pune,10/15/2021,14189.9,Active,Yes
